kepid,kepoi_name,kepler_name,koi_score,koi_disposition,koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_impact,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_kepmag
11446443,K00001.01,Kepler-1 b,0.811,CONFIRMED,CANDIDATE,0,0,0,0,2.470613377,0.818,1.74319,14231.0,4304.3,13.04,1339.0,761.46,5820.0,4.457,0.964,11.338
10666592,K00002.01,Kepler-2 b,1.0,CONFIRMED,CANDIDATE,0,1,0,0,2.204735417,0.224,3.88864,6674.7,5945.9,16.1,2048.0,4148.92,6440.0,4.019,1.952,10.463
6922244,K00010.01,Kepler-8 b,0.998,CONFIRMED,CANDIDATE,0,0,0,0,3.522498429,0.631,3.19843,9145.7,1741.5,14.59,1521.0,1264.67,6225.0,4.169,1.451,13.563
10984090,K00112.02,Kepler-466 c,1.0,CONFIRMED,CANDIDATE,0,0,0,0,3.709214104,0.051,2.6302,131.1,50.6,1.16,1206.0,500.46,5833.0,4.407,1.022,12.772
10419211,K00742.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,11.521446064,2.483,3.6399,17984.0,622.1,150.51,753.0,75.88,5795.0,4.554,0.848,15.472
10464078,K00743.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,19.40393776,0.804,12.2155,8918.7,214.7,7.18,523.0,17.69,5043.0,4.591,0.68,15.487
10480982,K00744.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,19.221388942,1.065,4.79843,74284.0,2317.0,49.29,698.0,55.97,6117.0,4.496,0.947,15.341
10485250,K00745.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,16.46983774,0.292,9.4378,10479.0,303.4,7.94,595.0,29.61,5152.0,4.517,0.786,15.788
10526549,K00746.01,Kepler-660 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,9.27358173,0.387,3.2875,1288.3,87.2,2.47,649.0,41.85,4856.0,4.583,0.696,15.302
10583066,K00747.01,Kepler-661 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,6.02930329,0.258,1.5821,1912.7,65.4,2.85,678.0,50.04,4537.0,4.648,0.672,15.784
10583180,K00748.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,2.696370652,0.044,3.6129,397.9,48.2,1.58,1066.0,305.34,4989.0,4.504,0.819,15.269
10601284,K00749.01,Kepler-226 c,1.0,CONFIRMED,CANDIDATE,0,0,0,0,5.349553819,0.092,3.0278,831.0,60.6,2.55,919.0,168.99,5185.0,4.44,0.91,15.416
10601284,K00749.02,Kepler-226 b,0.98,CONFIRMED,CANDIDATE,0,0,0,0,3.94105221,0.226,2.5984,363.3,28.9,1.7,1018.0,253.15,5185.0,4.44,0.91,15.416
10601284,K00749.03,Kepler-226 d,0.971,CONFIRMED,CANDIDATE,0,0,0,0,8.10904807,0.025,3.596,217.4,14.1,1.3,800.0,97.03,5185.0,4.44,0.91,15.416
10662202,K00750.01,Kepler-662 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,21.67699193,0.896,3.4555,857.2,34.3,2.95,530.0,18.64,4954.0,4.5,0.828,15.377
10682541,K00751.01,Kepler-663 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,4.99677968,0.71,2.1717,934.7,28.2,2.78,917.0,166.95,5339.0,4.552,0.847,15.861
11460018,K00769.01,Kepler-671 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,4.280963604,0.424,2.875,750.8,61.8,2.3,1012.0,247.87,5644.0,4.564,0.831,15.356
11463211,K00770.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,1.50635409,0.86,1.5155,2211.7,181.1,4.53,1452.0,1054.12,5714.0,4.563,0.831,15.525
11465813,K00771.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,670.645531,0.701,53.412,18091.0,642.7,14.14,196.0,0.35,5520.0,4.466,0.983,15.207
11493732,K00772.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,61.2563628,1.248,7.633,5123.3,85.3,39.87,505.0,15.43,6144.0,4.402,1.091,15.25
11507101,K00773.01,Kepler-672 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,38.3775486,0.468,5.588,724.2,34.7,2.82,529.0,18.53,5481.0,4.369,1.036,15.172
10910878,K00757.02,Kepler-229 d,0.992,CONFIRMED,CANDIDATE,0,0,0,0,41.19725502,0.045,4.6297,2213.9,51.2,3.86,439.0,8.76,5031.0,4.485,0.848,15.841
10910878,K00757.03,Kepler-229 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,6.252962249,0.105,2.5819,1036.9,47.1,2.65,823.0,108.3,5031.0,4.485,0.848,15.841
10987985,K00758.01,Kepler-665 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,16.01308419,0.799,3.2554,1121.9,33.2,3.1,593.0,29.31,5015.0,4.499,0.826,15.39
11018648,K00759.01,Kepler-230 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,32.62876672,0.021,4.7971,1804.8,80.0,3.36,506.0,15.55,5586.0,4.56,0.798,15.082
11018648,K00759.02,Kepler-230 c,0.978,CONFIRMED,CANDIDATE,0,0,0,0,91.7732862,0.606,6.473,652.0,19.1,2.12,359.0,3.92,5586.0,4.56,0.798,15.082
11138155,K00760.01,Kepler-1976 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,4.959319244,0.831,2.22739,9802.0,696.5,12.21,1103.0,349.4,5712.0,4.359,1.082,15.263
11152159,K00761.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,2.701287801,1.016,3.3827,860.4,48.3,6.54,1222.0,527.81,5550.0,4.468,0.91,15.54
11153539,K00762.01,Kepler-666 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,4.49876511,0.312,3.7362,460.0,29.5,2.1,1133.0,389.62,6075.0,4.486,0.969,15.395
11242721,K00763.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,19.651209505,0.723,5.2514,11766.0,513.4,12.42,730.0,67.03,6074.0,4.391,1.063,15.536
9579641,K00115.01,Kepler-105 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,5.412203927,0.787,2.9472,601.6,166.7,2.94,1093.0,337.68,5779.0,4.339,1.087,12.791
11304958,K00764.01,Kepler-667 b,0.998,CONFIRMED,CANDIDATE,0,0,0,0,41.43958662,0.355,10.5989,2793.1,141.1,5.5,516.0,16.72,5468.0,4.367,1.046,15.4
11391957,K00765.01,Kepler-668 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,8.35389523,0.023,2.2514,1041.6,43.4,2.52,790.0,91.9,5592.0,4.582,0.787,15.317
11403044,K00766.01,Kepler-669 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,4.125543472,0.597,3.1744,1487.3,128.6,4.43,1243.0,565.35,6174.0,4.417,1.103,15.506
11414511,K00767.01,Kepler-670 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,2.816504904,0.105,2.50587,16814.0,1406.8,12.21,1219.0,521.13,5532.0,4.452,0.955,15.052
11442465,K00768.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,33.93373447,0.812,14.561,8503.7,236.1,7.34,430.0,8.11,5040.0,4.628,0.705,15.716
12110942,K00786.01,Kepler-680 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,3.689920099,0.151,2.6557,426.7,35.6,1.89,1147.0,408.99,5880.0,4.518,0.917,15.242
12366084,K00787.01,Kepler-232 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,4.431238488,0.405,3.15,1010.9,71.1,3.25,1104.0,351.23,5714.0,4.428,1.015,15.367
12366084,K00787.02,Kepler-232 c,1.0,CONFIRMED,CANDIDATE,0,0,0,0,11.37936986,0.911,2.6255,1023.5,37.9,3.95,806.0,99.68,5714.0,4.428,1.015,15.367
12404086,K00788.01,Kepler-681 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,26.39432897,0.602,3.573,1510.9,48.2,3.07,489.0,13.49,5129.0,4.595,0.763,15.234
8395660,K00116.01,Kepler-106 c,1.0,CONFIRMED,CANDIDATE,0,0,0,0,13.57078281,0.866,3.3539,511.7,88.4,2.64,785.0,89.61,5854.0,4.406,1.012,12.882
9579641,K00115.02,Kepler-105 c,1.0,CONFIRMED,CANDIDATE,0,0,0,0,7.12594387,0.898,3.0014,192.4,47.1,1.79,997.0,233.31,5779.0,4.339,1.087,12.791
11656840,K00774.01,,0.014,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,7.442652004,0.137,2.3078,24446.0,835.6,15.03,967.0,206.78,6108.0,4.469,0.956,15.27
11754553,K00775.01,Kepler-52 c,1.0,CONFIRMED,CANDIDATE,0,0,0,0,16.38489988,0.001,3.0249,1127.1,28.9,2.0,433.0,8.35,4126.0,4.661,0.615,15.095
11754553,K00775.02,Kepler-52 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,7.8774163,0.041,2.0805,1306.1,38.7,2.16,553.0,22.18,4126.0,4.661,0.615,15.095
11754553,K00775.03,Kepler-52 d,1.0,CONFIRMED,CANDIDATE,0,0,0,0,36.4454001,0.028,4.007,1122.3,21.7,1.99,332.0,2.88,4126.0,4.661,0.615,15.095
11812062,K00776.01,Kepler-673 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,3.728732147,0.558,2.683,5226.5,345.2,6.02,1023.0,258.34,5497.0,4.577,0.809,15.523
11818800,K00777.01,,0.999,CANDIDATE,CANDIDATE,0,0,0,0,40.4195037,0.911,3.362,6256.0,36.9,7.51,467.0,11.29,5446.0,4.507,0.781,15.487
11853255,K00778.01,Kepler-674 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,2.243380573,0.915,1.1196,821.7,38.9,1.99,822.0,107.6,4149.0,4.698,0.564,15.135
11909839,K00779.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,10.405998015,0.324,6.5036,14489.0,745.2,11.23,833.0,113.94,5746.0,4.393,0.924,15.562
11918099,K00780.01,Kepler-675 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,2.337437946,0.28,1.9982,971.2,82.4,2.34,1070.0,311.16,5005.0,4.595,0.765,15.334
11918099,K00780.02,,0.993,CANDIDATE,CANDIDATE,0,0,0,0,7.2406612,1.198,0.558,556.4,13.7,19.45,734.0,68.63,5005.0,4.595,0.765,15.334
9579641,K00115.03,,0.871,CANDIDATE,CANDIDATE,0,0,0,0,3.43591631,0.624,3.133,23.2,8.7,0.55,1272.0,617.61,5779.0,4.339,1.087,12.791
11923270,K00781.01,Kepler-676 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,11.59822233,0.679,2.5237,2804.5,71.0,2.65,396.0,5.82,3688.0,4.79,0.473,15.937
11960862,K00782.01,Kepler-677 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,6.575315881,0.39,4.3084,2793.3,221.1,5.31,1015.0,251.38,5992.0,4.415,0.989,15.312
12020329,K00783.01,Kepler-678 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,7.275040844,0.547,7.5377,3001.0,312.1,4.86,833.0,113.64,5485.0,4.556,0.867,15.08
12066335,K00784.01,Kepler-231 c,1.0,CONFIRMED,CANDIDATE,0,0,0,0,19.27153892,0.031,2.7594,1219.8,37.1,1.93,393.0,5.66,4077.0,4.702,0.56,15.385
12066335,K00784.02,Kepler-231 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,10.06524317,0.628,1.369,1053.3,30.3,1.91,488.0,13.43,4077.0,4.702,0.56,15.385
12070811,K00785.01,Kepler-679 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,12.3935651,0.883,3.8896,916.6,35.8,2.66,677.0,49.68,5557.0,4.603,0.75,15.505
8395660,K00116.02,Kepler-106 e,0.998,CONFIRMED,CANDIDATE,0,0,0,0,43.84439721,0.852,6.802,615.2,83.7,2.87,531.0,18.77,5854.0,4.406,1.012,12.882
3120431,K00798.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,3.341913228,1.213,3.813,725.3,39.0,21.55,1032.0,268.67,5295.0,4.551,0.811,15.629
3246984,K00799.01,,0.773,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,1.626630225,1.26,2.1145,1620.6,103.6,32.43,1547.0,1355.88,5735.0,4.41,0.973,15.279
3342970,K00800.01,Kepler-234 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,2.711504086,0.023,3.0099,837.5,64.5,3.12,1420.0,960.79,6214.0,4.442,1.076,15.541
3342970,K00800.02,Kepler-234 c,1.0,CONFIRMED,CANDIDATE,0,0,0,0,7.21203748,0.012,4.0491,950.4,51.5,3.32,1025.0,260.58,6214.0,4.442,1.076,15.541
12470844,K00790.01,Kepler-233 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,8.47237911,0.022,2.7245,1123.5,47.6,2.59,751.0,75.44,5354.0,4.587,0.788,15.339
12470844,K00790.02,Kepler-233 c,0.989,CONFIRMED,CANDIDATE,0,0,0,0,60.4189369,0.094,5.039,931.3,20.1,2.36,390.0,5.49,5354.0,4.587,0.788,15.339
12644822,K00791.01,Kepler-682 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,12.611904345,0.55,5.1497,6105.6,277.2,7.4,753.0,76.15,5795.0,4.508,0.919,15.14
2440757,K00792.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,1.433769925,1.268,1.8868,1976.3,112.6,46.58,1920.0,3209.29,6017.0,4.22,1.339,15.122
2445129,K00793.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,10.31872301,1.215,3.836,871.7,38.2,28.59,876.0,139.26,5927.0,4.409,1.06,15.065
2713049,K00794.01,Kepler-683 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,2.539183147,0.238,2.4282,382.1,38.9,2.06,1332.0,743.09,5519.0,4.35,1.062,15.026
3114167,K00795.01,Kepler-684 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,6.770300385,0.838,2.0844,1304.0,50.8,2.77,812.0,102.87,5653.0,4.656,0.679,15.591
3114661,K00796.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,0.444291966,1.258,2.0792,10967.0,299.7,27.51,1836.0,2706.26,5255.0,4.678,0.636,15.748
3115833,K00797.01,,1.0,CANDIDATE,CANDIDATE,0,0,0,0,10.181584004,0.92,3.5089,5741.1,183.6,7.73,812.0,102.91,5988.0,4.541,0.836,15.657
4139816,K00812.02,Kepler-235 d,1.0,CONFIRMED,CANDIDATE,0,0,0,0,20.06036336,0.556,3.3203,1494.7,35.2,1.96,361.0,4.0,3950.0,4.754,0.493,15.954
4139816,K00812.03,Kepler-235 e,1.0,CONFIRMED,CANDIDATE,0,0,0,0,46.1842039,0.013,4.758,1394.7,26.0,1.83,273.0,1.32,3950.0,4.754,0.493,15.954
8395660,K00116.04,Kepler-106 d,0.952,CONFIRMED,CANDIDATE,0,0,0,0,23.9800854,0.95,5.351,104.0,17.1,1.31,649.0,41.94,5854.0,4.406,1.012,12.882
4139816,K00812.04,Kepler-235 c,0.994,CONFIRMED,CANDIDATE,0,0,0,0,7.82502168,0.708,2.186,520.8,15.9,1.2,494.0,14.05,3950.0,4.754,0.493,15.954
4275191,K00813.01,Kepler-688 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,3.895936525,0.524,2.3111,8544.8,370.8,7.34,1005.0,241.62,5557.0,4.592,0.774,15.725
4476123,K00814.01,Kepler-689 b,0.999,CONFIRMED,CANDIDATE,0,0,0,0,22.36646466,0.4,5.228,986.8,32.1,2.32,536.0,19.45,5395.0,4.615,0.734,15.583
3351888,K00801.01,Kepler-685 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,1.625522174,0.076,2.38963,7969.0,799.7,9.73,1579.0,1467.41,5539.0,4.322,1.106,15.001
3453214,K00802.01,,1.0,CANDIDATE,CANDIDATE,0,0,0,0,19.620346923,0.458,2.0038,21725.0,340.5,13.6,643.0,40.39,5710.0,4.492,0.905,15.562
3554600,K00803.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,1,0,1,0,7.544039,1.175,6.222,322.6,14.2,17.47,838.0,116.46,5657.0,4.567,0.824,15.559
3641726,K00804.01,Kepler-1727 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,9.02930689,0.024,3.1449,1019.8,53.9,2.57,757.0,77.75,5349.0,4.526,0.82,15.387
3734868,K00805.01,,0.053,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,10.328035714,0.281,7.7915,16918.0,636.8,13.28,843.0,119.31,5627.0,4.359,1.024,15.646
3832474,K00806.01,Kepler-30 d,1.0,CONFIRMED,CANDIDATE,0,0,0,0,143.2063047,0.379,8.9302,10566.0,138.8,8.9,308.0,2.14,5485.0,4.556,0.867,15.403
8395660,K00116.03,Kepler-106 b,0.95,CONFIRMED,CANDIDATE,0,0,0,0,6.164876,0.646,3.262,55.8,14.4,0.79,1021.0,256.35,5854.0,4.406,1.012,12.882
3832474,K00806.02,Kepler-30 c,0.745,CONFIRMED,CANDIDATE,0,0,0,0,60.32494216,0.224,6.6188,20280.0,347.2,12.19,411.0,6.77,5485.0,4.556,0.867,15.403
3836375,K00807.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1.540397253,1.225,2.1541,816.1,38.8,25.69,1470.0,1105.68,5663.0,4.53,0.915,15.974
3838486,K00808.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,2.99025443,0.014,5.414,589.2,48.5,1.7,918.0,168.45,4667.0,4.578,0.731,15.842
3935914,K00809.01,Kepler-686 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,1.594745374,0.514,1.9604,15044.0,1009.3,11.3,1539.0,1329.42,5934.0,4.491,0.893,15.53
3940418,K00810.01,Kepler-1728 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,4.783002698,0.003,2.335,1008.7,70.6,2.5,886.0,145.48,5170.0,4.574,0.807,15.119
4049131,K00811.01,Kepler-687 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,20.50588921,0.26,4.0595,2105.5,78.5,3.41,518.0,17.06,4905.0,4.544,0.761,15.398
4139816,K00812.01,Kepler-235 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,3.340218842,0.466,1.9104,1632.6,71.6,2.03,656.0,43.73,3950.0,4.754,0.493,15.954
5287983,K00828.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,2.507089906,1.255,2.0067,1339.2,64.9,30.26,1326.0,730.47,5926.0,4.506,0.939,15.555
5358241,K00829.01,Kepler-53 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,18.64932728,0.08,4.4056,893.6,46.1,3.12,701.0,57.13,5775.0,4.405,1.053,15.386
10875245,K00117.02,Kepler-107 c,1.0,CONFIRMED,CANDIDATE,0,0,0,0,4.90144976,0.529,4.1654,140.7,50.6,1.7,1262.0,598.74,5847.0,4.191,1.402,12.487
5358241,K00829.02,Kepler-53 d,0.998,CONFIRMED,CANDIDATE,0,0,0,0,9.75192101,0.949,4.793,418.0,28.5,2.76,870.0,135.66,5775.0,4.405,1.053,15.386
5358241,K00829.03,Kepler-53 c,1.0,CONFIRMED,CANDIDATE,0,0,0,0,38.5576546,0.911,5.794,993.0,39.7,4.02,550.0,21.71,5775.0,4.405,1.053,15.386
5358624,K00830.01,Kepler-428 b,0.99,CONFIRMED,CANDIDATE,0,0,0,0,3.525632539,0.12,2.59959,22335.0,1996.7,11.58,975.0,213.12,5150.0,4.572,0.793,15.224
4544670,K00815.01,,1.0,CANDIDATE,CANDIDATE,0,0,0,0,34.84398644,0.934,2.9315,4523.6,76.8,7.61,511.0,16.1,5509.0,4.482,0.871,15.684
4664847,K00816.01,Kepler-690 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,7.748094239,0.517,3.5957,2472.1,113.2,5.52,964.0,204.39,5973.0,4.439,1.085,15.67
4725681,K00817.01,Kepler-236 c,1.0,CONFIRMED,CANDIDATE,0,0,0,0,23.96793669,0.416,3.827,1182.3,27.5,1.8,329.0,2.77,3747.0,4.728,0.524,15.414
4725681,K00817.02,Kepler-236 b,0.995,CONFIRMED,CANDIDATE,0,0,0,0,8.29561738,0.888,1.3421,824.3,17.9,1.82,469.0,11.39,3747.0,4.728,0.524,15.414
4913852,K00818.01,Kepler-691 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,8.11437482,0.573,2.2736,1558.0,56.4,2.1,460.0,10.55,3692.0,4.753,0.517,15.877
4932348,K00819.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,38.036729482,0.501,4.34617,82872.0,1300.0,27.5,500.0,14.81,5575.0,4.521,0.932,15.472
4936180,K00820.01,,0.0,CANDIDATE,CANDIDATE,0,0,0,0,4.64090031,1.28,35.512,2450.6,296.9,30.09,1155.0,421.08,6463.0,4.5,0.826,15.27
11913073,K00011.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,3.747838198,1.121,5.0642,616.0,138.2,13.65,1031.0,266.76,5514.0,4.569,0.826,13.496
10875245,K00117.01,Kepler-107 e,0.992,CONFIRMED,CANDIDATE,0,0,0,0,14.74914825,0.173,6.0995,430.2,107.4,2.89,874.0,137.91,5847.0,4.191,1.402,12.487
5021899,K00821.01,Kepler-692 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,21.81295996,0.053,4.3791,1175.4,37.8,3.38,639.0,39.33,5601.0,4.41,0.999,15.54
5077629,K00822.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,7.91936937,0.733,3.3148,15148.0,389.0,10.34,814.0,104.0,5690.0,4.588,0.776,15.805
5164255,K00824.01,Kepler-693 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,15.37562369,0.692,3.3169,15337.0,166.0,11.01,600.0,30.54,4986.0,4.496,0.833,16.422
5252423,K00825.01,Kepler-237 c,1.0,CONFIRMED,CANDIDATE,0,0,0,0,8.10363271,0.047,3.161,887.9,39.3,2.11,687.0,52.82,4861.0,4.574,0.732,15.289
5252423,K00825.02,Kepler-237 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,4.71510843,0.258,2.506,417.5,21.3,1.46,823.0,108.84,4861.0,4.574,0.732,15.289
5272878,K00826.01,Kepler-694 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,6.365839713,0.524,2.9721,780.7,70.8,2.44,914.0,165.33,5776.0,4.554,0.849,15.09
5283542,K00827.01,,0.037,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,5.97581754,0.941,3.065,962.4,50.3,3.86,1047.0,284.25,6108.0,4.471,0.997,15.546
5649215,K00839.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,2.446737317,1.241,4.7211,1177.9,110.2,26.25,1261.0,597.19,5764.0,4.548,0.863,15.021
5651104,K00840.01,Kepler-695 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,3.04033046,0.736,1.8411,10859.0,568.2,8.99,1021.0,257.29,5035.0,4.519,0.791,15.028
5792202,K00841.01,Kepler-27 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,15.33528675,0.773,3.897,3081.4,86.6,5.0,610.0,32.67,5251.0,4.581,0.817,15.855
10875245,K00117.04,Kepler-107 d,0.998,CONFIRMED,CANDIDATE,0,0,0,0,7.95825328,0.706,4.377,50.0,14.7,1.06,1074.0,314.15,5847.0,4.191,1.402,12.487
5792202,K00841.02,Kepler-27 c,1.0,CONFIRMED,CANDIDATE,0,0,0,0,31.33046135,0.798,5.176,5073.8,117.2,6.5,481.0,12.61,5251.0,4.581,0.817,15.855
5370302,K00831.01,,0.006,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,3.9043425,0.709,3.831,16228.0,323.4,12.28,1104.0,351.05,5810.0,4.526,0.898,15.016
5372966,K00832.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,9.286358079,0.377,3.49949,44791.0,1671.1,17.61,796.0,95.03,5670.0,4.523,0.821,15.365
5376067,K00833.01,,0.0,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,3.951405455,1.276,2.1862,2453.9,117.2,31.44,1133.0,388.71,6046.0,4.539,0.869,15.446
5436502,K00834.01,Kepler-238 e,0.999,CONFIRMED,CANDIDATE,0,0,0,0,23.65369415,0.008,8.2183,3341.8,266.3,7.89,731.0,67.65,5739.0,4.191,1.384,15.084
5436502,K00834.02,Kepler-238 d,0.996,CONFIRMED,CANDIDATE,0,0,0,0,13.23352214,0.014,6.7372,504.6,49.1,3.06,888.0,146.67,5739.0,4.191,1.384,15.084
5436502,K00834.03,Kepler-238 c,0.997,CONFIRMED,CANDIDATE,0,0,0,0,6.15560285,0.235,4.9843,285.0,35.1,2.32,1146.0,406.94,5739.0,4.191,1.384,15.084
5436502,K00834.04,Kepler-238 b,1.0,CONFIRMED,CANDIDATE,0,0,0,0,2.090811305,0.746,3.388,115.9,19.9,1.62,1642.0,1718.04,5739.0,4.191,1.384,15.084
10875245,K00117.03,Kepler-107 b,0.995,CONFIRMED,CANDIDATE,0,0,0,0,3.180027898,0.196,3.5797,120.3,50.4,1.53,1458.0,1066.86,5847.0,4.191,1.402,12.487
